name,position,industry,company_size,finance_stage,location,experience,education,salary
深圳市博悦科创科技有限公司,python后端,,500-2000人,不需要融资,南山区,3-5年,本科,10k-15k
深圳市科睿众诚科技有限公司,python软件工程师助理,,50-150人,未融资,宝安区,不限,大专,3k-6k
上海海万信息科技股份有限公司,Python 数据分析,大数据金融可视化,500-2000人,不需要融资,福田区,3-5年,大专,13k-25k
深圳市天趣网络科技有限公司,python后台开发工程师,,50-150人,A轮,南山区,1-3年,大专,10k-15k
北京瑞友科技股份有限公司,python开发工程师----c,,2000人以上,上市公司,南山区,1-3年,本科,10k-15k
深圳安巽科技有限公司,安全开发工程师(Python),信息安全大数据数据挖掘网络爬虫分布式全栈,50-150人,不需要融资,福田区,不限,本科,6k-12k
深圳领脉科技有限公司,Python高级工程师,,15-50人,A轮,龙岗区,10年以上,大专,25K-40K
康美中药材数据信息服务有限公司,Python工程师/数据工程师,,50-150人,上市公司,福田区,1-3年,本科,15k-30k
深圳市客路网络科技有限公司,Python后端工程师,,500-2000人,D轮及以上,福田区,1-3年,本科,13k-25k
平安科技（深圳）有限公司,Python 后台服务器开发,云计算服务器端Java云计算,2000人以上,上市公司,福田区,3-5年,本科,25k-40k
深圳非常牛物流科技有限公司,Python数据工程师,移动互联网物流数据挖掘数据分析数据处理,15-50人,A轮,南山区,3-5年,大专,10k-20k
深圳晶泰科技有限公司,Python 算法工程师,云计算机器学习,50-150人,C轮,福田区,3-5年,本科,18k-30k
深圳市深为软件技术有限公司,python讲师（全职/兼职）,,500-2000人,不需要融资,南山区,5-10年,本科,30k-50k
八零一八零（深圳）科技有限公司,python游戏服务器开发,游戏服务器端C++,15-50人,A轮,南山区,3-5年,本科,15k-30k
联想（北京）有限公司,python工程化leader,,2000人以上,上市公司,南山区,5-10年,本科,15k-28k
深圳市观麦网络科技有限公司,python后台开发工程师,,150-500人,A轮,南山区,1-3年,本科,10k-18k
深圳市达深信息科技有限公司,python后台开发工程师,大数据后端MySQL,50-150人,天使轮,南山区,1-3年,本科,11k-16k
深圳海链科技有限公司,Python 后台工程师,金融服务器端MySQL,50-150人,A轮,南山区,3-5年,本科,15k-26k
深圳市启晟互联网科技有限公司,Python后端开发工程师,,150-500人,未融资,龙华新区,3-5年,硕士,15k-25k
深圳市微课科技有限公司,Python实习生,移动互联网JavaPHP,50-150人,A轮,南山区,应届毕业生,本科,5k-10k
深圳市本牛科技有限责任公司,ETL工程师（Python数据处理）,电商教育Oracle数据挖掘数据分析,50-150人,未融资,南山区,不限,本科,8k-15k
华润置地有限公司,数据工程师（Python）,大数据MySQL,2000人以上,上市公司,南山区,3-5年,本科,13k-26k
深圳点猫科技有限公司,教材研发——Python,教育编辑策划,500-2000人,B轮,南山区,1-3年,本科,10k-20k
富途网络科技（深圳）有限公司,运营开发工程师（Python）,,500-2000人,C轮,,1-3年,本科,15k-30k
风变科技（深圳）有限公司,Python工程师（课程售后组）,教育,50-150人,A轮,南山区,1-3年,本科,7k-14k
深圳市启晟互联网科技有限公司,Python后端开发工程师,,150-500人,未融资,龙华新区,3-5年,硕士,15k-25k
OPPO广东移动通信有限公司,Python工程师（运维平台）,云计算云计算,2000人以上,不需要融资,南山区,3-5年,本科,15k-30k
联想（北京）有限公司,python机器学习工程师,,2000人以上,上市公司,南山区,5-10年,本科,20k-37k
广东科达洁能股份有限公司,Python全栈工程师,,2000人以上,上市公司,福田区,1-3年,本科,8k-15k
北京筑龙信息技术有限责任公司,Python数据挖掘工程师,大数据Hadoop数据仓库数据分析,150-500人,不需要融资,福田区,3-5年,本科,10k-20k
爱客科技（深圳）有限公司,python爬虫后台开发经理,,50-150人,不需要融资,南山区,5-10年,本科,28k-48k
深圳小步网络科技有限公司,Python爬虫工程师,,50-150人,B轮,宝安区,3-5年,本科,15k-30k
深圳派鲜科技有限公司,数据分析（python开发）,,150-500人,B轮,南山区,应届毕业生,本科,10k-15k
深圳开黑科技有限公司,Python自动化测试,游戏,150-500人,A轮,南山区,1-3年,本科,10k-19k
OPPO广东移动通信有限公司,Python测试开发工程师,,2000人以上,不需要融资,,3-5年,本科,15k-30k
风变科技（深圳）有限公司,Python课程营销总监/高级经理,,50-150人,A轮,南山区,1-3年,本科,20k-40k
在线途游（北京）科技有限公司,python游戏服务端高级技术,游戏Java,150-500人,B轮,南山区,不限,本科,12k-24k
深圳平安综合金融服务有限公司,C++/python后台研发工程师,信息安全金融系统架构,2000人以上,上市公司,罗湖区,3-5年,本科,15k-30k
天天体育科技（深圳）有限公司,Python爬虫开发工程师,,50-150人,未融资,南山区,3-5年,本科,15k-25k
深圳市麦凯莱科技有限公司,Python全栈工程师,,150-500人,不需要融资,南山区,3-5年,大专,10k-15k
九康科技（深圳）有限公司,后台开发（C++及python）,,15-50人,不需要融资,南山区,不限,本科,10k-20k
深圳晶泰科技有限公司,高级后端工程师（python、Go语言）,云计算Golang云计算,50-150人,C轮,福田区,1-3年,本科,15k-25k
深圳市安络科技有限公司,Python爬虫工程师,信息安全移动互联网网络爬虫,150-500人,未融资,南山区,1-3年,本科,10k-20k
深圳市彼图恩科技有限公司,python爬虫工程师,,50-150人,上市公司,南山区,1-3年,不限,10k-15k
腾讯科技(深圳)有限公司,Python运营开发,,2000人以上,上市公司,南山区,1-3年,本科,8k-15k
深圳市云之梦科技有限公司,"后台开发工程师（C++,PYTHON,GO）",云计算Java云计算,50-150人,A轮,南山区,1-3年,大专,10k-15k
富途网络科技（深圳）有限公司,社区服务端开发工程师(c++/python),,500-2000人,C轮,南山区,3-5年,本科,20k-40k
思力科（深圳）电子科技有限公司,C++/Python/QT软件工程师,,50-150人,不需要融资,南山区,3-5年,本科,12k-24k
